Gender,Months,Growth_rate,BMI_Level,PCT,Quantile,Weight,Protein_Mass,Mineral_Mass,Soft_Lean_Mass,Body_Fat_Mass,Skeletal_Muscle_Mass,BMR,Student_ID,Age,Target_Age,Target_Months,Height,Target_Height,PW,MW,SW,BW,SMW,SS,BS,Ages,Target_Ages,nobs
1,107,0.05496183206106853,1.0,3.0,0.5614961780938047,30.9,4.9,1.7,23.7,6.0,12.9,912.0,13964.0,8.0,10.0,122.0,133.8,141.9,0.1602564102564102,0.0555555555555555,0.7694704049844237,0.1880877742946708,0.4169381107491857,0.5450643776824033,0.2439024390243902,8.0,10.0,21167
1,108,0.05423476968796437,1.0,3.0,0.5722131659538827,31.5,5.0,1.7,24.0,6.0,13.1,918.0,9633.0,9.0,10.0,124.0,134.4,143.0,0.1586901763224181,0.0550161812297734,0.7607142857142858,0.1941747572815534,0.4137931034482758,0.545816733067729,0.2551020408163265,9.0,10.0,18306
1,109,0.04799435426958365,1.0,3.0,0.5539848218433032,32.3,5.0,1.7,24.1,7.0,13.2,921.0,14381.0,9.0,10.0,122.0,134.6,142.1,0.1555555555555555,0.0542372881355932,0.7462301587301587,0.2127659574468085,0.4050991501416431,0.5465587044534413,0.2834008097165992,9.0,10.0,4114
1,110,0.05752840909090895,1.0,3.0,0.5648134777130647,32.6,5.0,1.7,24.2,7.0,13.2,923.0,14610.0,9.0,10.0,125.0,135.2,143.9,0.1551724137931034,0.054054054054054,0.7443609022556391,0.2109704641350211,0.4057971014492754,0.5465587044534413,0.2826855123674912,9.0,10.0,31463
1,111,0.05284552845528445,1.0,3.0,0.5467451161888741,32.8,5.1,1.8,24.3,7.0,13.3,927.0,10493.0,9.0,10.0,125.0,135.4,143.7,0.1559322033898305,0.0542372881355932,0.7474048442906576,0.2102102102102102,0.4063604240282685,0.5477178423236514,0.282258064516129,9.0,10.0,15491
1,112,0.0571004748793551,1.0,3.0,0.5715851639577927,33.5,5.1,1.8,24.4,7.0,13.4,930.0,11633.0,9.0,10.0,128.0,136.2,145.0,0.1533101045296167,0.053763440860215,0.7359050445103857,0.2203856749311294,0.400709219858156,0.5483870967741935,0.2993853836550465,9.0,10.0,17360
1,113,0.06226834692364713,1.0,3.0,0.5466547103121999,33.7,5.1,1.8,24.6,7.0,13.5,933.0,13249.0,9.0,10.0,130.0,136.3,145.6,0.1529745042492918,0.0536277602523659,0.7325905292479109,0.22557928214447975,0.4,0.5486553493337006,0.3076923076923077,9.0,10.0,25498
1,114,0.05330799462045699,1.0,2.0,0.4783543669836947,32.3,5.1,1.8,24.2,6.0,13.3,924.0,9018.0,9.0,10.0,128.0,135.8,144.7,0.1596638655462184,0.0559701492537313,0.7692307692307693,0.1851851851851852,0.4148606811145511,0.5483201807813851,0.2427184466019417,9.0,10.0,1894
1,115,0.061527057079317826,1.0,3.0,0.5314125901828151,34.7,5.2,1.8,25.0,8.0,13.8,942.0,9069.0,9.0,11.0,134.0,137.0,146.2,0.1514195583596214,0.0530035335689045,0.7272727272727273,0.2313624678663239,0.3965087281795511,0.5502008032128514,0.3187250996015936,9.0,11.0,6489
1,116,0.06744771582815401,1.0,3.0,0.5484290162999218,33.2,5.1,1.8,24.7,7.0,13.5,935.0,9027.0,9.0,11.0,134.0,137.7,146.7,0.1551724137931034,0.0551181102362204,0.746031746031746,0.2166064981949458,0.4025559105431309,0.5477178423236514,0.2904564315352697,9.0,11.0,2182
1,117,0.04989747095010233,1.0,3.0,0.5649809098863039,35.1,5.3,1.9,25.5,8.0,14.0,953.0,14012.0,9.0,10.0,131.0,138.4,146.1,0.1519337016574585,0.0539682539682539,0.728494623655914,0.2280130293159609,0.4,0.5508474576271186,0.3125,9.0,10.0,13733
1,118,0.05500705218617763,1.0,3.0,0.5608986753036618,35.6,5.4,1.9,25.8,8.0,14.2,961.0,15264.0,9.0,11.0,133.0,138.8,147.2,0.1520618556701031,0.053475935828877,0.729483282674772,0.2261306532663316,0.3999999999999999,0.5517241379310345,0.3103448275862069,9.0,11.0,15991
1,119,0.04860614724803414,1.0,3.0,0.5363156650939656,34.9,5.4,1.9,25.8,7.0,14.2,961.0,13957.0,9.0,11.0,133.0,138.9,146.6,0.1553398058252427,0.0544959128065395,0.7456647398843931,0.2105263157894736,0.4093567251461988,0.5519713261648745,0.282258064516129,9.0,11.0,18277
1,120,0.048049093661907016,1.0,3.0,0.558350599196207,35.7,5.5,1.9,26.3,7.0,14.5,970.0,9727.5,10.0,11.0,134.0,139.7,147.7,0.1548821548821548,0.0544554455445544,0.7432432432432432,0.2134146341463415,0.41005291005291,0.5527272727272727,0.28690984548369947,10.0,11.0,17114
1,121,0.048327137546468446,1.0,3.0,0.5258793619295768,36.8,5.5,1.9,26.1,8.0,14.4,968.0,7224.0,10.0,11.0,134.0,139.7,147.7,0.1504178272980501,0.0538243626062322,0.7240506329113925,0.2298850574712644,0.401496259351621,0.5522388059701493,0.3215434083601286,10.0,11.0,4425
1,122,0.052669552669552644,1.0,3.0,0.5477539484320436,36.9,5.6,1.9,26.5,8.0,14.7,978.0,12135.0,10.0,11.0,136.0,140.5,149.1,0.1517615176151761,0.05350003888932095,0.7286821705426356,0.2290076335877862,0.4017857142857142,0.5535055350553505,0.313588850174216,10.0,11.0,28266
1,123,0.04552469135802473,1.0,3.0,0.515705768075246,37.0,5.6,1.9,26.6,8.0,14.8,981.0,10597.0,10.0,11.0,135.0,140.5,148.2,0.1513513513513513,0.0534351145038168,0.7259475218658892,0.2312138728323699,0.4012158054711246,0.5543071161048689,0.3191489361702128,10.0,11.0,13253
1,124,0.05126452494873557,1.0,3.0,0.5374055210816816,37.6,5.6,2.0,26.9,9.0,14.9,986.0,10350.0,10.0,11.0,136.0,141.3,150.0,0.1506493506493506,0.0534591194968553,0.722543352601156,0.2347417840375587,0.3995037220843673,0.5559701492537313,0.324074074074074,10.0,11.0,15623
1,125,0.05366847826086962,1.0,3.0,0.5389631122375839,38.3,5.7,2.0,27.1,9.0,15.1,992.0,13148.0,10.0,11.0,137.0,141.8,150.7,0.149171270718232,0.053125,0.7157190635451505,0.2409638554216867,0.3962655601659751,0.5559701492537313,0.3375527426160337,10.0,11.0,21270
1,126,0.048220321255958876,1.0,2.0,0.4467406434211545,36.4,5.6,2.0,27.1,8.0,15.0,992.0,9068.0,10.0,11.0,138.0,140.9,149.4,0.15363540569020015,0.0549450549450549,0.7357859531772576,0.2215189873417721,0.409313725490196,0.5555555555555556,0.3001886739320211,10.0,11.0,1874
